,LogisticRegression,SVC,DecisionTreeClassifier,RandomForestClassifier,VotingClassifier,BaggingClassifier,GradientBoostingClassifier,StackingClassifier,Neural Net Stack
accuracy_train,0.8490388784506432,0.8603121838415956,0.8675025292672351,0.9101026159849688,0.8694175458881341,0.91750975574505,0.8839427662957074,0.8887483740424917,0.9498498
f1_train,0.6505520240883239,0.6748528174936922,0.698511880292691,0.7957642423247414,0.6962514708354346,0.813404168369432,0.7345015705075219,0.7459780546159558,0.8952346
accuracy_test,0.8491299897645854,0.8528147389969294,0.857727737973388,0.860388945752303,0.8564994882292732,0.8595701125895598,0.8704196519959059,0.8710337768679631,0.839304
f1_test,0.6505452821242296,0.6544930321960596,0.6713947990543735,0.6783018867924527,0.6653937947494033,0.6785379568884723,0.7048951048951049,0.7047797563261479,0.6537274
